,Actual,Prediction,Difference
606,9.2,7.32,1.8827020645141594
607,9.24,7.49,1.7491576576232912
608,9.32,7.65,1.6652429771423343
609,9.4,7.8,1.5996603012084964
610,9.28,7.92,1.3631232070922845
611,9.44,8.01,1.4308580780029292
612,9.36,8.07,1.2857669448852533
613,9.4,8.11,1.286614799499512
614,9.48,8.13,1.3463635253906254
615,9.44,8.14,1.3046726608276362
616,9.36,8.13,1.23043285369873
617,9.2,8.12,1.0836669921874993
618,8.96,8.1,0.8634490585327157
619,8.96,8.08,0.884121856689454
620,8.84,8.05,0.7882431411743163
621,8.84,8.0,0.8353861236572264
622,8.72,7.92,0.8033864212036139
623,8.72,7.78,0.9417340469360358
624,8.64,7.59,1.0509477996826178
625,8.64,7.36,1.2845364952087408
626,8.4,7.09,1.3119267463684086
627,8.44,6.79,1.6519073867797847
628,8.32,6.46,1.8559525680541995
629,8.32,6.13,2.192116565704346
630,8.2,5.79,2.4086730003356926
631,8.24,5.48,2.760019054412842
632,8.12,5.22,2.8993979644775383
633,8.08,5.04,3.0403934288024903
634,7.96,4.95,3.0116200065612793
635,8.0,4.95,3.054047107696533
636,7.8,5.03,2.7740304946899412
637,7.84,5.18,2.6628635787963866
638,7.76,5.38,2.3755924797058103
639,7.64,5.63,2.0086442375183102
640,7.6,5.9,1.6980992317199703
641,7.52,6.18,1.3384413909912105
642,7.52,6.46,1.0574660491943355
643,7.6,6.74,0.8605400085449215
644,7.6,7.01,0.5916520118713375
645,7.52,7.27,0.25443126678466754
646,7.4,7.51,-0.10812911987304652
647,7.32,7.73,-0.4055673408508298
648,7.2,7.91,-0.7083437919616697
649,7.24,8.06,-0.8151271438598631
650,7.08,8.17,-1.0887936782836913
651,7.12,8.25,-1.1344021606445311
652,6.92,8.32,-1.3972664642333985
653,7.04,8.36,-1.3227357482910156
654,6.84,8.39,-1.5511285400390626
655,6.92,8.4,-1.4824620056152344
656,6.76,8.4,-1.6411869430541994
657,6.84,8.39,-1.553073081970215
658,6.76,8.38,-1.6228945159912112
659,6.88,8.37,-1.4942256164550782
660,6.8,8.37,-1.5730783462524416
661,6.92,8.38,-1.4643631744384766
662,7.04,8.4,-1.3621472930908203
663,7.28,8.43,-1.1465995025634763
664,7.44,8.46,-1.0190234756469723
665,7.52,8.5,-0.9803204345703129
666,7.6,8.55,-0.94597282409668
667,7.6,8.59,-0.9907468795776371
668,7.72,8.63,-0.9102394866943362
669,7.72,8.65,-0.9337256240844729
670,7.84,8.65,-0.8084270095825197
671,7.88,8.62,-0.7379780960083009
672,7.92,8.58,-0.6560679244995118
673,8.04,8.54,-0.4963874435424813
674,8.0,8.51,-0.5091285705566406
675,8.2,8.5,-0.3000257492065437
676,8.16,8.51,-0.34656032562255845
677,8.28,8.52,-0.23964092254638736
678,8.28,8.53,-0.2538830947875983
679,8.36,8.55,-0.1865421676635748
680,8.16,8.56,-0.3965242767333983
681,8.04,8.56,-0.5236320114135751
682,7.84,8.57,-0.7280265426635744
683,7.68,8.57,-0.8902009201049808
684,7.44,8.57,-1.1306996917724605
685,7.32,8.57,-1.2500349807739255
686,6.96,8.57,-1.608638801574707
